gene	subtype	type
gi|959849949|ref|WP_058134661.1|	beta_lactam__PDC-2	beta_lactam
FJ666066.1.gene1.p1	beta_lactam__PDC-3	beta_lactam
gi|1034011099|ref|WP_064484002.1|	beta_lactam__PDC-3	beta_lactam
gi|1035157539|ref|WP_064511504.1|	beta_lactam__PDC-3	beta_lactam
gi|1035157546|ref|WP_064511511.1|	beta_lactam__PDC-3	beta_lactam
gi|1040476868|ref|WP_065102311.1|	beta_lactam__PDC-3	beta_lactam
gi|685986033|ref|WP_031692400.1|	beta_lactam__PDC-3	beta_lactam
gi|730339926|ref|WP_033990638.1|	beta_lactam__PDC-3	beta_lactam
FJ666067.1.gene1.p1	beta_lactam__PDC-4	beta_lactam
FJ666068.1.gene1.p1	beta_lactam__PDC-5	beta_lactam
FJ666069.1.gene1.p1	beta_lactam__PDC-6	beta_lactam
FJ666070.1.gene1.p1	beta_lactam__PDC-7	beta_lactam
gi|1028110212|ref|WP_063864582.1|	beta_lactam__PDC-7	beta_lactam
gi|1034011133|ref|WP_064484005.1|	beta_lactam__PDC-7	beta_lactam
gi|1035157538|ref|WP_064511503.1|	beta_lactam__PDC-7	beta_lactam
gi|1035157545|ref|WP_064511510.1|	beta_lactam__PDC-7	beta_lactam
gi|518315006|ref|WP_019485213.1|	beta_lactam__PDC-7	beta_lactam
gi|730360176|ref|WP_033998317.1|	beta_lactam__PDC-7	beta_lactam
gi|730722906|ref|WP_034081664.1|	beta_lactam__PDC-7	beta_lactam
gi|927320859|ref|WP_053813381.1|	beta_lactam__PDC-7	beta_lactam
gi|927333323|ref|WP_053816671.1|	beta_lactam__PDC-7	beta_lactam
gi|959851639|ref|WP_058135553.1|	beta_lactam__PDC-7	beta_lactam
gi|959866866|ref|WP_058145576.1|	beta_lactam__PDC-7	beta_lactam
gi|959911064|ref|WP_058174497.1|	beta_lactam__PDC-7	beta_lactam
YP_001346370	beta_lactam__PDC-7	beta_lactam
gb|AKR18013.1|ARO:3004336|PDC-73	beta_lactam__PDC-73	beta_lactam
gb|AKR18014.1|ARO:3004337|PDC-74	beta_lactam__PDC-74	beta_lactam
gb|AKR18015.1|ARO:3004338|PDC-75	beta_lactam__PDC-75	beta_lactam
gb|AKR18016.1|ARO:3004339|PDC-76	beta_lactam__PDC-76	beta_lactam
gb|AKR18017.1|ARO:3004340|PDC-77	beta_lactam__PDC-77	beta_lactam
gb|AKR18018.1|ARO:3004341|PDC-78	beta_lactam__PDC-78	beta_lactam
gb|AKR18019.1|ARO:3004342|PDC-79	beta_lactam__PDC-79	beta_lactam
FJ666071.1.gene1.p1	beta_lactam__PDC-8	beta_lactam
gb|AKR18020.1|ARO:3004343|PDC-80	beta_lactam__PDC-80	beta_lactam
gb|AKR18021.1|ARO:3004344|PDC-81	beta_lactam__PDC-81	beta_lactam
gb|AKR18022.1|ARO:3004345|PDC-82	beta_lactam__PDC-82	beta_lactam
gb|AKR18023.1|ARO:3004346|PDC-83	beta_lactam__PDC-83	beta_lactam
gb|AKR18024.1|ARO:3004347|PDC-84	beta_lactam__PDC-84	beta_lactam
gb|AKR18025.1|ARO:3004348|PDC-85	beta_lactam__PDC-85	beta_lactam
gb|AKR18026.1|ARO:3004349|PDC-86	beta_lactam__PDC-86	beta_lactam
gb|AKR18027.1|ARO:3004350|PDC-87	beta_lactam__PDC-87	beta_lactam
gb|AKR18028.1|ARO:3004351|PDC-88	beta_lactam__PDC-88	beta_lactam
gb|AKR18029.1|ARO:3004352|PDC-89	beta_lactam__PDC-89	beta_lactam
FJ666072.1.gene1.p1	beta_lactam__PDC-9	beta_lactam
YP_789012	beta_lactam__PDC-9	beta_lactam
gb|AKR18030.1|ARO:3004353|PDC-90	beta_lactam__PDC-90	beta_lactam
gb|AKR18031.1|ARO:3004354|PDC-91	beta_lactam__PDC-91	beta_lactam
gb|AKR18032.1|ARO:3004355|PDC-92	beta_lactam__PDC-92	beta_lactam
gb|AKR18033.1|ARO:3004356|PDC-93	beta_lactam__PDC-93	beta_lactam
gb|ABA81355.1|ARO:3004291|Rhodobacter	beta_lactam__Rhodobacter sphaeroides ampC	beta_lactam
AB008454.1.gene1.p01	beta_lactam__SRT-1	beta_lactam
AY524276.3.gene1.p3	beta_lactam__SRT-2	beta_lactam
1708210A	beta_lactam__SRT-2	beta_lactam
AAK15701	beta_lactam__SRT-2	beta_lactam
AAK64454	beta_lactam__SRT-2	beta_lactam
AAQ90024	beta_lactam__SRT-2	beta_lactam
ABC33904	beta_lactam__SRT-2	beta_lactam
gi|1028170925|ref|WP_063919386.1|	beta_lactam__SRT-2	beta_lactam
gi|640737031|ref|WP_025159717.1|	beta_lactam__SRT-2	beta_lactam
gi|665934413|ref|WP_031300463.1|	beta_lactam__SRT-2	beta_lactam
gi|739556627|ref|WP_037414833.1|	beta_lactam__SRT-2	beta_lactam
gi|742394783|ref|WP_038873908.1|	beta_lactam__SRT-2	beta_lactam
gi|763152412|ref|WP_044032075.1|	beta_lactam__SRT-2	beta_lactam
gi|764984241|ref|WP_044550790.1|	beta_lactam__SRT-2	beta_lactam
gi|851962897|ref|WP_048233629.1|	beta_lactam__SRT-2	beta_lactam
gi|852260313|ref|WP_048324983.1|	beta_lactam__SRT-2	beta_lactam
gi|896175180|ref|WP_049188167.1|	beta_lactam__SRT-2	beta_lactam
gi|896193254|ref|WP_049201909.1|	beta_lactam__SRT-2	beta_lactam
gi|896201400|ref|WP_049208135.1|	beta_lactam__SRT-2	beta_lactam
gi|896236319|ref|WP_049234464.1|	beta_lactam__SRT-2	beta_lactam
gi|942489450|ref|WP_055329626.1|	beta_lactam__SRT-2	beta_lactam
gi|983069570|ref|WP_060419126.1|	beta_lactam__SRT-2	beta_lactam
gi|983102004|ref|WP_060440035.1|	beta_lactam__SRT-2	beta_lactam
P18539	beta_lactam__SRT-2	beta_lactam
YP_001478502	beta_lactam__SRT-2	beta_lactam
gb|ABW05394.1|ARO:3004450|TRU-1	beta_lactam__TRU-1	beta_lactam
EU408352.1.gene27.p01	beta_lactam__LRA-13	beta_lactam
gb|EIM09515.1|ARO:3004747|BAT-1	beta_lactam__BAT-1	beta_lactam
gb|ABV63006.2|ARO:3004759|BPU-1	beta_lactam__BPU-1	beta_lactam
Q00983	beta_lactam__LCR-1	beta_lactam
gb|AJP77058|ARO:3003719|MSI-OXA	beta_lactam__MSI-OXA	beta_lactam
AAK14791	beta_lactam__NPS-1	beta_lactam
AAA91586	beta_lactam__OXA-1	beta_lactam
ABB99435	beta_lactam__OXA-1	beta_lactam
ABY55282	beta_lactam__OXA-1	beta_lactam
CAB41446	beta_lactam__OXA-1	beta_lactam
CAC81326	beta_lactam__OXA-1	beta_lactam
CAJ29561	beta_lactam__OXA-1	beta_lactam
gi|333012759|gb|EGK32138.1|	beta_lactam__OXA-1	beta_lactam
gi|333020623|gb|EGK39883.1|	beta_lactam__OXA-1	beta_lactam
gi|909636575|emb|CRK62768.1|	beta_lactam__OXA-1	beta_lactam
AY115475.1.gene2.p01	beta_lactam__OXA-10	beta_lactam
AAS92348	beta_lactam__OXA-10	beta_lactam
gi|151567620|pdb|2HP5|A	beta_lactam__OXA-10	beta_lactam
gi|151567624|pdb|2HP6|A	beta_lactam__OXA-10	beta_lactam
gi|189303747|gb|ACD85804.1|	beta_lactam__OXA-10	beta_lactam
gi|210060768|pdb|2RL3|A	beta_lactam__OXA-10	beta_lactam
gi|210060769|pdb|2RL3|B	beta_lactam__OXA-10	beta_lactam
gi|222546874|gb|ACM66940.1|	beta_lactam__OXA-10	beta_lactam
gi|296278285|pdb|2WGV|A	beta_lactam__OXA-10	beta_lactam
gi|297039739|pdb|2WGW|A	beta_lactam__OXA-10	beta_lactam
gi|304445559|pdb|2WKH|A	beta_lactam__OXA-10	beta_lactam
gi|315022060|pdb|2X01|B	beta_lactam__OXA-10	beta_lactam
gi|426206800|emb|CCP09090.1|	beta_lactam__OXA-10	beta_lactam
gb|CAJ77817.2|ARO:3001438|OXA-100	beta_lactam__OXA-100	beta_lactam
AM412777.1.gene1.p01	beta_lactam__OXA-101	beta_lactam
gb|ENV88740.1|ARO:3001707|OXA-103	beta_lactam__OXA-103	beta_lactam
EF581285.1.gene1.p01	beta_lactam__OXA-104	beta_lactam
EF650032.1.gene1.p01	beta_lactam__OXA-106	beta_lactam
EF650033.1.gene1.p01	beta_lactam__OXA-107	beta_lactam
EF650034.1.gene1.p01	beta_lactam__OXA-108	beta_lactam
EF650035.1.gene1.p01	beta_lactam__OXA-109	beta_lactam
Z22590.1.gene1.p01	beta_lactam__OXA-11	beta_lactam
EF650036.1.gene1.p01	beta_lactam__OXA-110	beta_lactam
EF650037.1.gene1.p01	beta_lactam__OXA-111	beta_lactam
EF650038.1.gene1.p01	beta_lactam__OXA-112	beta_lactam
EF653400.1.gene1.p01	beta_lactam__OXA-113	beta_lactam
EU188842.1.gene1.p1	beta_lactam__OXA-114a	beta_lactam
EU029998.1.gene2.p01	beta_lactam__OXA-115	beta_lactam
EU220744.1.gene1.p01	beta_lactam__OXA-116	beta_lactam
EU220745.1.gene1.p01	beta_lactam__OXA-117	beta_lactam
AF371964.1.gene1.p1	beta_lactam__OXA-118	beta_lactam
AY139598.1.gene3.p01	beta_lactam__OXA-119	beta_lactam
gi|551485182|gb|AGY30825.1|	beta_lactam__OXA-119	beta_lactam
gi|551485184|gb|AGY30826.1|	beta_lactam__OXA-119	beta_lactam
U10251.1.gene1.p01	beta_lactam__OXA-12	beta_lactam
HE963768.1.gene1.p01	beta_lactam__OXA-120	beta_lactam
KF057027.1.gene1.p01	beta_lactam__OXA-121	beta_lactam
gb|ABX45061.1|ARO:3001444|OXA-122	beta_lactam__OXA-122	beta_lactam
gb|ABX45062.1|ARO:3001445|OXA-123	beta_lactam__OXA-123	beta_lactam
gb|ABX45063.1|ARO:3001446|OXA-124	beta_lactam__OXA-124	beta_lactam
gb|ABX45064.1|ARO:3001447|OXA-125	beta_lactam__OXA-125	beta_lactam
gb|ABX45065.1|ARO:3001448|OXA-126	beta_lactam__OXA-126	beta_lactam
gb|ABX45066.1|ARO:3001449|OXA-127	beta_lactam__OXA-127	beta_lactam
EU375515.1.gene1.p1	beta_lactam__OXA-128	beta_lactam
AM932669.1.gene2.p01	beta_lactam__OXA-129	beta_lactam
U59183.1.gene3.p01	beta_lactam__OXA-13	beta_lactam
EU547445.1.gene1.p1	beta_lactam__OXA-130	beta_lactam
EU547446.1.gene1.p1	beta_lactam__OXA-131	beta_lactam
EU547447.1.gene1.p1	beta_lactam__OXA-132	beta_lactam
gb|ACE63186.1|ARO:3001702|OXA-133	beta_lactam__OXA-133	beta_lactam
HQ122933.1.gene1.p01	beta_lactam__OXA-134	beta_lactam
EU086830.1.gene1.p01	beta_lactam__OXA-136	beta_lactam
EU086834.1.gene1.p01	beta_lactam__OXA-137	beta_lactam
gb|ACD45467.1|ARO:3001655|OXA-138	beta_lactam__OXA-138	beta_lactam
AM991978.1.gene1.p01	beta_lactam__OXA-139	beta_lactam
gb|AHX74209.1|ARO:3001409|OXA-14	beta_lactam__OXA-14	beta_lactam
gb|ALL27283.1|ARO:3001452|OXA-140	beta_lactam__OXA-140	beta_lactam
EF552405.1.gene1.p01	beta_lactam__OXA-141	beta_lactam
ABY79006	beta_lactam__OXA-142	beta_lactam
gb|ACX70402.1|ARO:3001654|OXA-143	beta_lactam__OXA-143	beta_lactam
FJ872530.1.gene1.p01	beta_lactam__OXA-144	beta_lactam
FJ790516.1.gene3.p01	beta_lactam__OXA-145	beta_lactam
FJ194494.1.gene1.p01	beta_lactam__OXA-146	beta_lactam
FJ848783.1.gene3.p01	beta_lactam__OXA-147	beta_lactam
GQ853679.1.gene1.p1	beta_lactam__OXA-148	beta_lactam
GQ853680.1.gene1.p1	beta_lactam__OXA-149	beta_lactam
U63835.1.gene1.p01	beta_lactam__OXA-15	beta_lactam
GQ853681.1.gene1.p1	beta_lactam__OXA-150	beta_lactam
gb|SUA76968.1|ARO:3001456|OXA-151	beta_lactam__OXA-151	beta_lactam
gb|ALA99186.1|ARO:3001457|OXA-152	beta_lactam__OXA-152	beta_lactam
gb|CFB60580.1|ARO:3001458|OXA-153	beta_lactam__OXA-153	beta_lactam
gb|SNU87672.1|ARO:3001459|OXA-154	beta_lactam__OXA-154	beta_lactam
gb|ALA99189.1|ARO:3001460|OXA-155	beta_lactam__OXA-155	beta_lactam
gb|SUA92210.1|ARO:3001461|OXA-156	beta_lactam__OXA-156	beta_lactam
gb|ALA99191.1|ARO:3001462|OXA-157	beta_lactam__OXA-157	beta_lactam
gb|ALA99192.1|ARO:3001463|OXA-158	beta_lactam__OXA-158	beta_lactam
gb|AAB97924.1|ARO:3001411|OXA-16	beta_lactam__OXA-16	beta_lactam
gb|ADB28891.1|ARO:3001663|OXA-160	beta_lactam__OXA-160	beta_lactam
GQ202693.1.gene2.p01	beta_lactam__OXA-161	beta_lactam
HM015773.1.gene6.p01	beta_lactam__OXA-162	beta_lactam
HQ700343.1.gene1.p01	beta_lactam__OXA-163	beta_lactam
GU831575.1.gene1.p01	beta_lactam__OXA-164	beta_lactam
HM488986.1.gene1.p1	beta_lactam__OXA-165	beta_lactam
HM488987.1.gene1.p1	beta_lactam__OXA-166	beta_lactam
HM488988.1.gene1.p1	beta_lactam__OXA-167	beta_lactam
HM488989.1.gene1.p1	beta_lactam__OXA-168	beta_lactam
HM488990.1.gene1.p1	beta_lactam__OXA-169	beta_lactam
ACR66837	beta_lactam__OXA-17	beta_lactam
HM488991.1.gene1.p1	beta_lactam__OXA-170	beta_lactam
HM488992.1.gene1.p1	beta_lactam__OXA-171	beta_lactam
HM113558.1.gene1.p01	beta_lactam__OXA-172	beta_lactam
HM113559.1.gene1.p01	beta_lactam__OXA-173	beta_lactam
HM113560.1.gene1.p01	beta_lactam__OXA-174	beta_lactam
HM113561.1.gene1.p01	beta_lactam__OXA-175	beta_lactam
HM113562.1.gene1.p01	beta_lactam__OXA-176	beta_lactam
HM113563.1.gene1.p01	beta_lactam__OXA-177	beta_lactam
HM113564.1.gene1.p01	beta_lactam__OXA-178	beta_lactam
HM570035.1.gene1.p01	beta_lactam__OXA-179	beta_lactam
U85514.1.gene1.p01	beta_lactam__OXA-18	beta_lactam
HM570036.1.gene1.p01	beta_lactam__OXA-180	beta_lactam
JN205800.1.gene6.p01	beta_lactam__OXA-181	beta_lactam
gb|ADK92148.1|ARO:3001709|OXA-182	beta_lactam__OXA-182	beta_lactam
HQ111474.1.gene3.p01	beta_lactam__OXA-183	beta_lactam
JQ396378.1.gene1.p01	beta_lactam__OXA-184	beta_lactam
gb|AFO09969.1|ARO:3001477|OXA-185	beta_lactam__OXA-185	beta_lactam
AF043381.1.gene3.p01	beta_lactam__OXA-19	beta_lactam
JF273470.1.gene1.p01	beta_lactam__OXA-192	beta_lactam
HQ425492.1.gene1.p01	beta_lactam__OXA-194	beta_lactam
HQ425493.1.gene1.p01	beta_lactam__OXA-195	beta_lactam
HQ425494.1.gene1.p01	beta_lactam__OXA-196	beta_lactam
HQ425495.1.gene1.p01	beta_lactam__OXA-197	beta_lactam
gb|ADT70779.1|ARO:3001805|OXA-198	beta_lactam__OXA-198	beta_lactam
gb|AFC95894.1|ARO:3001814|OXA-199	beta_lactam__OXA-199	beta_lactam
AB777500.1.gene5.p01	beta_lactam__OXA-2	beta_lactam
AAS20534	beta_lactam__OXA-2	beta_lactam
ABN48512	beta_lactam__OXA-2	beta_lactam
gi|157139469|gb|ABV24340.1|	beta_lactam__OXA-2	beta_lactam
gi|928739494|emb|CUK24193.1|	beta_lactam__OXA-2	beta_lactam
AF024602.1.gene3.p01	beta_lactam__OXA-20	beta_lactam
HQ734811.1.gene1.p01	beta_lactam__OXA-200	beta_lactam
HQ734812.1.gene1.p01	beta_lactam__OXA-201	beta_lactam
HQ734813.1.gene1.p01	beta_lactam__OXA-202	beta_lactam
HQ998857.1.gene1.p01	beta_lactam__OXA-203	beta_lactam
gb|AFU91598.1|ARO:3001788|OXA-204	beta_lactam__OXA-204	beta_lactam
JF800667.1.gene2.p01	beta_lactam__OXA-205	beta_lactam
AB634250.1.gene1.p01	beta_lactam__OXA-206	beta_lactam
JQ838185.1.gene1.p01	beta_lactam__OXA-207	beta_lactam
FR853176.1.gene1.p01	beta_lactam__OXA-208	beta_lactam
JF268688.1.gene5.p01	beta_lactam__OXA-209	beta_lactam
DQ522237.1.gene5.p01	beta_lactam__OXA-21	beta_lactam
JF795487.1.gene1.p01	beta_lactam__OXA-210	beta_lactam
JN861779.1.gene1.p01	beta_lactam__OXA-211	beta_lactam
JN861780.1.gene1.p01	beta_lactam__OXA-212	beta_lactam
JN861781.1.gene1.p01	beta_lactam__OXA-213	beta_lactam
JN861782.1.gene1.p01	beta_lactam__OXA-214	beta_lactam
JN861783.1.gene1.p01	beta_lactam__OXA-215	beta_lactam
FR865168.1.gene1.p01	beta_lactam__OXA-216	beta_lactam
JN603240.1.gene1.p1	beta_lactam__OXA-217	beta_lactam
JN215211.1.gene1.p01	beta_lactam__OXA-219	beta_lactam
AF064820.3.gene2.p01	beta_lactam__OXA-22	beta_lactam
JN248564.1.gene1.p01	beta_lactam__OXA-223	beta_lactam
JN596991.2.gene4.p01	beta_lactam__OXA-224	beta_lactam
JN638887.1.gene1.p01	beta_lactam__OXA-225	beta_lactam
FJ617207.1.gene1.p01	beta_lactam__OXA-226	beta_lactam
JQ422053.1.gene1.p01	beta_lactam__OXA-228	beta_lactam
JQ422052.1.gene1.p01	beta_lactam__OXA-229	beta_lactam
AY795964.gene.p01	beta_lactam__OXA-23	beta_lactam
gi|1036119841|emb|SBS23848.1|	beta_lactam__OXA-23	beta_lactam
JQ422054.1.gene1.p01	beta_lactam__OXA-230	beta_lactam
gb|AFG29918.1|ARO:3001670|OXA-231	beta_lactam__OXA-231	beta_lactam
AGD91915.1	beta_lactam__OXA-232	beta_lactam
gb|AID67109.1|ARO:3001495|OXA-233	beta_lactam__OXA-233	beta_lactam
gb|WP_038350216.1|ARO:3001496|OXA-234	beta_lactam__OXA-234	beta_lactam
gb|AFH36330.1|ARO:3001676|OXA-235	beta_lactam__OXA-235	beta_lactam
JQ820242.1.gene1.p01	beta_lactam__OXA-236	beta_lactam
JQ820241.1.gene1.p01	beta_lactam__OXA-237	beta_lactam
JQ837239.1.gene1.p01	beta_lactam__OXA-239	beta_lactam
AF509241.1.gene1.p01	beta_lactam__OXA-24	beta_lactam
JX089628.1.gene1.p01	beta_lactam__OXA-240	beta_lactam
JX025021.1.gene1.p01	beta_lactam__OXA-241	beta_lactam
JX025022.1.gene1.p01	beta_lactam__OXA-242	beta_lactam
JX206446.1.gene1.p01	beta_lactam__OXA-243	beta_lactam
JX438000.1.gene1.p01	beta_lactam__OXA-244	beta_lactam
gb|AGC60013.1|ARO:3001787|OXA-245	beta_lactam__OXA-245	beta_lactam
gb|AHC31001.1|ARO:3001807|OXA-246	beta_lactam__OXA-246	beta_lactam
JX893517.1.gene1.p01	beta_lactam__OXA-247	beta_lactam
HE963769.1.gene1.p01	beta_lactam__OXA-248	beta_lactam
gb|CCJ32597.1|ARO:3001674|OXA-249	beta_lactam__OXA-249	beta_lactam
AF201826.1.gene1.p01	beta_lactam__OXA-25	beta_lactam
HE963771.1.gene1.p01	beta_lactam__OXA-250	beta_lactam
JN118546.1.gene3.p01	beta_lactam__OXA-251	beta_lactam
gb|ASF15667.1|ARO:3001501|OXA-252	beta_lactam__OXA-252	beta_lactam
gb|AGK07368.1|ARO:3001689|OXA-253	beta_lactam__OXA-253	beta_lactam
AB781687.1.gene1.p01	beta_lactam__OXA-254	beta_lactam
gb|AGK07369.1|ARO:3001690|OXA-255	beta_lactam__OXA-255	beta_lactam
HE616889.1.gene2.p01	beta_lactam__OXA-256	beta_lactam
KC567681.1.gene2.p1	beta_lactam__OXA-257	beta_lactam
HE614014.2.gene1.p01	beta_lactam__OXA-258	beta_lactam
gb|AGV04655.1|ARO:3001715|OXA-259	beta_lactam__OXA-259	beta_lactam
AF201827.1.gene1.p01	beta_lactam__OXA-26	beta_lactam
gb|ENU54757.1|ARO:3001716|OXA-260	beta_lactam__OXA-260	beta_lactam
gb|ENW35072.1|ARO:3001717|OXA-261	beta_lactam__OXA-261	beta_lactam
gb|ENW50687.1|ARO:3001718|OXA-262	beta_lactam__OXA-262	beta_lactam
gb|ENW43915.1|ARO:3001719|OXA-263	beta_lactam__OXA-263	beta_lactam
gb|ENW20318.1|ARO:3001720|OXA-264	beta_lactam__OXA-264	beta_lactam
gb|RFX69805.1|ARO:3001721|OXA-265	beta_lactam__OXA-265	beta_lactam
gb|ENV38192.1|ARO:3001722|OXA-266	beta_lactam__OXA-266	beta_lactam
gb|ENV93423.1|ARO:3001723|OXA-267	beta_lactam__OXA-267	beta_lactam
gb|ENU09033.1|ARO:3001724|OXA-268	beta_lactam__OXA-268	beta_lactam
gb|EOQ63861.1|ARO:3001725|OXA-269	beta_lactam__OXA-269	beta_lactam
AF201828.gene.p01	beta_lactam__OXA-27	beta_lactam
gb|EOQ69512.1|ARO:3001726|OXA-270	beta_lactam__OXA-270	beta_lactam
gb|EOQ72432.1|ARO:3001727|OXA-271	beta_lactam__OXA-271	beta_lactam
gb|ENW16915.1|ARO:3001728|OXA-272	beta_lactam__OXA-272	beta_lactam
gb|ENW12288.1|ARO:3001729|OXA-273	beta_lactam__OXA-273	beta_lactam
gb|EPH38243.1|ARO:3001730|OXA-274	beta_lactam__OXA-274	beta_lactam
gb|ENV18923.1|ARO:3001731|OXA-275	beta_lactam__OXA-275	beta_lactam
gb|ENV13583.1|ARO:3001732|OXA-276	beta_lactam__OXA-276	beta_lactam
gb|ENV45890.1|ARO:3001733|OXA-277	beta_lactam__OXA-277	beta_lactam
KC771279.1.gene1.p01	beta_lactam__OXA-278	beta_lactam
gb|ENU35234.1|ARO:3001734|OXA-279	beta_lactam__OXA-279	beta_lactam
AF231133.1.gene3.p01	beta_lactam__OXA-28	beta_lactam
gb|ENV74419.1|ARO:3001735|OXA-280	beta_lactam__OXA-280	beta_lactam
gb|ENU38533.1|ARO:3001736|OXA-281	beta_lactam__OXA-281	beta_lactam
gb|EKE23052.1|ARO:3001737|OXA-282	beta_lactam__OXA-282	beta_lactam
gb|ENU15301.1|ARO:3001738|OXA-283	beta_lactam__OXA-283	beta_lactam
gb|ENX16434.1|ARO:3001739|OXA-284	beta_lactam__OXA-284	beta_lactam
gb|ENX26326.1|ARO:3001740|OXA-285	beta_lactam__OXA-285	beta_lactam
gb|ENU21708.1|ARO:3001741|OXA-286	beta_lactam__OXA-286	beta_lactam
gb|WP_032865068.1|ARO:3001742|OXA-287	beta_lactam__OXA-287	beta_lactam
gb|ENX60508.1|ARO:3001743|OXA-288	beta_lactam__OXA-288	beta_lactam
AJ400619.1.gene1.p01	beta_lactam__OXA-29	beta_lactam
gb|ENW94121.1|ARO:3001746|OXA-291	beta_lactam__OXA-291	beta_lactam
gb|ENX53612.1|ARO:3001747|OXA-292	beta_lactam__OXA-292	beta_lactam
gb|WP_032877719.1|ARO:3001748|OXA-293	beta_lactam__OXA-293	beta_lactam
gb|ENU93232.1|ARO:3001749|OXA-294	beta_lactam__OXA-294	beta_lactam
gb|ENX19403.1|ARO:3001750|OXA-295	beta_lactam__OXA-295	beta_lactam
gb|ENU21024.1|ARO:3001751|OXA-296	beta_lactam__OXA-296	beta_lactam
gb|ENX09209.1|ARO:3001752|OXA-297	beta_lactam__OXA-297	beta_lactam
gb|ENX40034.1|ARO:3001753|OXA-298	beta_lactam__OXA-298	beta_lactam
gb|ENV82218.1|ARO:3001754|OXA-299	beta_lactam__OXA-299	beta_lactam
L07945.1.gene1.p01	beta_lactam__OXA-3	beta_lactam
gb|ENV20093.1|ARO:3001755|OXA-300	beta_lactam__OXA-300	beta_lactam
gb|ENV90372.1|ARO:3001756|OXA-301	beta_lactam__OXA-301	beta_lactam
gb|ENX18112.1|ARO:3001757|OXA-302	beta_lactam__OXA-302	beta_lactam
gb|ENX56371.1|ARO:3001758|OXA-303	beta_lactam__OXA-303	beta_lactam
gb|ENX45276.1|ARO:3001759|OXA-304	beta_lactam__OXA-304	beta_lactam
gb|ENV02983.1|ARO:3001760|OXA-305	beta_lactam__OXA-305	beta_lactam
gb|ENX38336.1|ARO:3001761|OXA-306	beta_lactam__OXA-306	beta_lactam
gb|ENV32314.1|ARO:3001763|OXA-308	beta_lactam__OXA-308	beta_lactam
HF947514.1.gene1.p01	beta_lactam__OXA-309	beta_lactam
AF294653.1.gene2.p01	beta_lactam__OXA-31	beta_lactam
KF057029.1.gene1.p01	beta_lactam__OXA-312	beta_lactam
KF057030.1.gene1.p01	beta_lactam__OXA-313	beta_lactam
KF057031.1.gene1.p01	beta_lactam__OXA-314	beta_lactam
KF057032.1.gene1.p01	beta_lactam__OXA-315	beta_lactam
KF057033.1.gene1.p01	beta_lactam__OXA-316	beta_lactam
KF057034.1.gene1.p01	beta_lactam__OXA-317	beta_lactam
AF315351.1.gene2.p01	beta_lactam__OXA-32	beta_lactam
KF151169.1.gene1.p01	beta_lactam__OXA-320	beta_lactam
KF203096.1.gene1.p01	beta_lactam__OXA-322	beta_lactam
KF203097.1.gene1.p01	beta_lactam__OXA-323	beta_lactam
KF203098.1.gene1.p01	beta_lactam__OXA-324	beta_lactam
KF203099.1.gene1.p01	beta_lactam__OXA-325	beta_lactam
KF203100.1.gene1.p01	beta_lactam__OXA-326	beta_lactam
KF203101.1.gene1.p01	beta_lactam__OXA-327	beta_lactam
KF203102.1.gene1.p01	beta_lactam__OXA-328	beta_lactam
KF203103.1.gene1.p01	beta_lactam__OXA-329	beta_lactam
gb|AAG23871.1|ARO:3001427|OXA-33	beta_lactam__OXA-33	beta_lactam
KF203104.1.gene1.p01	beta_lactam__OXA-330	beta_lactam
KF203105.1.gene1.p01	beta_lactam__OXA-331	beta_lactam
KF203106.1.gene1.p01	beta_lactam__OXA-332	beta_lactam
KF203107.1.gene1.p01	beta_lactam__OXA-333	beta_lactam
KF203108.1.gene1.p01	beta_lactam__OXA-334	beta_lactam
KF203109.1.gene1.p01	beta_lactam__OXA-335	beta_lactam
gb|AHN07452.1|ARO:3001524|OXA-336	beta_lactam__OXA-336	beta_lactam
gb|RIL13772.1|ARO:3001525|OXA-337	beta_lactam__OXA-337	beta_lactam
gb|AHN07454.1|ARO:3001526|OXA-338	beta_lactam__OXA-338	beta_lactam
gb|AHN07456.1|ARO:3001527|OXA-339	beta_lactam__OXA-339	beta_lactam
AF350424.1.gene1.p01	beta_lactam__OXA-34	beta_lactam
gb|OTK94966.1|ARO:3001528|OXA-340	beta_lactam__OXA-340	beta_lactam
gb|AHN07458.1|ARO:3001529|OXA-341	beta_lactam__OXA-341	beta_lactam
gb|AHN07460.1|ARO:3001530|OXA-342	beta_lactam__OXA-342	beta_lactam
gb|PCE45447.1|ARO:3001531|OXA-343	beta_lactam__OXA-343	beta_lactam
gb|AHN07462.1|ARO:3001532|OXA-344	beta_lactam__OXA-344	beta_lactam
gb|AHN07463.1|ARO:3001533|OXA-345	beta_lactam__OXA-345	beta_lactam
gb|AHN07464.1|ARO:3001534|OXA-346	beta_lactam__OXA-346	beta_lactam
gb|AET35493.1|ARO:3001777|OXA-347	beta_lactam__OXA-347	beta_lactam
KF297577.1.gene1.p01	beta_lactam__OXA-348	beta_lactam
KF297578.1.gene1.p01	beta_lactam__OXA-349	beta_lactam
AAK49460	beta_lactam__OXA-35	beta_lactam
KF297579.1.gene1.p01	beta_lactam__OXA-350	beta_lactam
KF297580.1.gene1.p01	beta_lactam__OXA-351	beta_lactam
KF297581.1.gene1.p01	beta_lactam__OXA-352	beta_lactam
KF297582.1.gene1.p01	beta_lactam__OXA-353	beta_lactam
